"Trabalhe Conosco","Trabalhe Conosco"
"Faça parte da equipe AWA Motos e construa sua carreira conosco","Faça parte da equipe AWA Motos e construa sua carreira conosco"
"Bem-vindo(a)!","Bem-vindo(a)!"
"Preencha o formulário abaixo com seus dados. Campos marcados com * são obrigatórios. Após o envio, você receberá um código para acompanhar sua candidatura.","Preencha o formulário abaixo com seus dados. Campos marcados com * são obrigatórios. Após o envio, você receberá um código para acompanhar sua candidatura."
"Formulário temporariamente indisponível. Tente novamente mais tarde.","Formulário temporariamente indisponível. Tente novamente mais tarde."
"Obrigado! Recebemos seu currículo e entraremos em contato.","Obrigado! Recebemos seu currículo e entraremos em contato."
"Revise os campos destacados:","Revise os campos destacados:"
"Envio concluído","Envio concluído"
"Currículo Enviado com Sucesso!","Currículo Enviado com Sucesso!"
"Parabéns! Seu currículo foi recebido pela nossa equipe de RH.","Parabéns! Seu currículo foi recebido pela nossa equipe de RH."
"Você receberá um email de confirmação com um código para acompanhar sua candidatura.","Você receberá um email de confirmação com um código para acompanhar sua candidatura."
"Verifique seu email","Verifique seu email"
"Use o código para acompanhar","Use o código para acompanhar"
"Aguarde nosso contato","Aguarde nosso contato"
"Acompanhar Candidatura","Acompanhar Candidatura"
"Enviar outro currículo","Enviar outro currículo"
"Progresso","Progresso"
"de","de"
"campos","campos"
"Digite o código de acompanhamento que você recebeu por email para verificar o status da sua candidatura.","Digite o código de acompanhamento que você recebeu por email para verificar o status da sua candidatura."
"Para solicitar correção ou exclusão de dados (LGPD), use nossos canais oficiais:","Para solicitar correção ou exclusão de dados (LGPD), use nossos canais oficiais:"
"Política de Privacidade","Política de Privacidade"
"Central de Atendimento","Central de Atendimento"
"Código de Acompanhamento","Código de Acompanhamento"
"Email (opcional)","Email (opcional)"
"Se você informar o mesmo email usado no envio, mostramos mais detalhes para confirmar sua candidatura.","Se você informar o mesmo email usado no envio, mostramos mais detalhes para confirmar sua candidatura."
"Consultar Status","Consultar Status"
"Enviar novo currículo","Enviar novo currículo"
"Etapas do Processo","Etapas do Processo"
"Recebido","Recebido"
"Análise","Análise"
"Entrevista","Entrevista"
"Aprovado","Aprovado"
"Finalizado","Finalizado"
"Por favor, informe o código de acompanhamento.","Por favor, informe o código de acompanhamento."
"Consultando...","Consultando..."
"Cargo","Cargo"
"Data de Envio","Data de Envio"
"Erro ao consultar. Tente novamente.","Erro ao consultar. Tente novamente."
