"Social Proof","Prova Social"
"Social Proof Settings","Configurações de Prova Social"
"Enable Social Proof","Habilitar Prova Social"
"Recent Purchase Notifications","Notificações de Compras Recentes"
"Show Recent Purchases","Mostrar Compras Recentes"
"Show live purchase notifications","Exibir notificações de compras ao vivo"
"Display Duration (seconds)","Duração da Exibição (segundos)"
"Time to show notification","Tempo para exibir notificação"
"Notification Interval (seconds)","Intervalo entre Notificações (segundos)"
"Time between notifications","Tempo entre notificações"
"Show Customer Name","Mostrar Nome do Cliente"
"Display customer name in notification","Exibir nome do cliente na notificação"
"Anonymize Names","Anonimizar Nomes"
"Show only first name and last initial","Mostrar apenas primeiro nome e inicial do sobrenome"
"Recent Orders Period","Período de Pedidos Recentes"
"Show orders from last X hours","Mostrar pedidos das últimas X horas"
"Product Page Settings","Configurações da Página de Produto"
"Show View Count","Mostrar Contador de Visualizações"
"Display how many people viewed product","Exibir quantas pessoas visualizaram o produto"
"View Count Period","Período do Contador"
"Count views from last X hours","Contar visualizações das últimas X horas"
"Show Stock Alerts","Mostrar Alertas de Estoque"
"Alert when stock is low","Alertar quando estoque está baixo"
"Low Stock Threshold","Limite de Estoque Baixo"
"Show alert when stock below this number","Mostrar alerta quando estoque abaixo deste número"
"Visitor Counter","Contador de Visitantes"
"Show Active Visitors","Mostrar Visitantes Ativos"
"Display current site visitors","Exibir visitantes atuais do site"
"Visitor Count Multiplier","Multiplicador de Visitantes"
"Multiply actual visitors by this factor","Multiplicar visitantes reais por este fator"
"someone in","alguém em"
"just purchased","acabou de comprar"
"people are viewing this","pessoas estão vendo isto"
"Only %1 left in stock!","Apenas %1 em estoque!"
"Low stock - Order soon!","Estoque baixo - Peça logo!"
"%1 people viewing this product","%1 pessoas vendo este produto"
"%1 active shoppers","%1 compradores ativos"
"Popular product!","Produto popular!"
"Trending now!","Em alta agora!"
