"Testimonials","Depoimentos"
"Customer Testimonials","Depoimentos de Clientes"
"What Our Customers Say","O Que Nossos Clientes Dizem"
"Reviews","Avaliações"
"Customer Reviews","Avaliações de Clientes"
"Read More","Ler Mais"
"Read Less","Ler Menos"
"View All Testimonials","Ver Todos os Depoimentos"
"Write a Review","Escrever uma Avaliação"
"Submit Review","Enviar Avaliação"
"Your Review","Sua Avaliação"
"Rating","Avaliação"
"Name","Nome"
"Location","Localização"
"Verified Customer","Cliente Verificado"
"Verified Purchase","Compra Verificada"
"Helpful","Útil"
"Not Helpful","Não Útil"
"Was this review helpful?","Esta avaliação foi útil?"
